id_aset_lama,nama_aset_lama,kategori,tipe,id_aset_baru,tanggal_penggantian,alasan_penggantian,biaya_penggantian
3696,DAI-C3IY-3696,Mechanical,AC Split,72378,2025-03-02,Upgrade kapasitas,63010000
31280,APA-2KOM-31280,Sistem Pemadam Kebakaran,APAR CO2,50386,2025-03-02,Standar keamanan baru,8200000
37550,PLA-08B6-37550,Arsitektur,Plafon Gypsum / GRC,68800,2025-03-02,Standar keamanan baru,96260000
5909,AXI-870J-5909,Security Sistem,Kamera CCTV,99976,2021-04-02,Usia pakai habis,41840000
53262,APA-W0XI-53262,Sistem Pemadam Kebakaran,APAR CO2,82350,2021-04-02,Kerusakan fatal tidak ekonomis diperbaiki,11490000
35100,SEL-0WYG-35100,Sistem Pemadam Kebakaran,Selang Hidrant,86612,2023-04-02,Sudah obsolete,26940000
42591,DAH-5DRM-42591,Security Sistem,Kamera CCTV,73158,2024-04-02,Upgrade kapasitas,70590000
8954,JET-KUPF-8954,Plumbing,Jet Shower,88746,2024-04-02,Usia pakai habis,61590000
46194,DIN-1ZBM-46194,Civil,Dinding Kaca Non Tempered,76018,2024-04-02,Upgrade kapasitas,59800000
56095,KLO-JNIK-56095,Plumbing,Kloset,79401,2024-05-02,Efisiensi energi,98040000
36274,PIN-VOKG-36274,Arsitektur,Pintu Kaca Hidrolik,89972,2024-05-02,Sudah obsolete,97460000
12705,LAM-1GJ0-12705,Electrical,Lampu Downlight,71376,2019-06-02,Sudah obsolete,59770000
4835,LAN-SKM3-4835,Civil,Lantai Keramik,92573,2024-06-02,Tidak ada spare part,66690000
49236,LAM-8T01-49236,Electrical,Lampu Wall sign,56608,2025-06-02,Upgrade kapasitas,37970000
59657,FAS-94RF-59657,Civil,Fasade Gedung,81674,2025-06-02,Sudah obsolete,73040000
33082,LAM-E439-33082,Electrical,Lampu LED Bulb,79126,2022-07-02,Tidak ada spare part,7030000
22788,DAI-0132-22788,Mechanical,AC Split,78709,2022-07-02,Sudah obsolete,70810000
59884,PAG-4VVE-59884,Arsitektur,Pagar Besi,84846,2023-07-02,Usia pakai habis,52610000
26802,UNI-NGUV-26802,Electrical,Uninterruptible Power Supply,94785,2024-07-02,Usia pakai habis,48440000
24980,LAM-8CXB-24980,Electrical,Lampu Downlight,73639,2024-07-02,Efisiensi energi,81120000
37647,FIN-YZ58-37647,Security Sistem,Fingerprint,81037,2024-07-02,Standar keamanan baru,89190000
38429,KLO-4ED8-38429,Plumbing,Kloset,98183,2024-07-02,Kontrak maintenance habis,8990000
57553,PAN-Q582-57553,Mechanical,AC Split,71890,2025-07-02,Usia pakai habis,72610000
33015,LAN-D74E-33015,Civil,Lantai Keramik,72960,2022-08-02,Kontrak maintenance habis,40370000
50186,LAN-JVJD-50186,Arsitektur,Lantai Parkir Beton,97149,2024-08-02,Standar keamanan baru,77490000
6377,PEM-XGQI-6377,Plumbing,Pemipaan Air Bersih,99669,2025-08-02,Efisiensi energi,33610000
2273,DAI-4450-2273,Mechanical,AC Split,61401,2025-08-02,Usia pakai habis,57610000
35234,KLO-6Y0T-35234,Plumbing,Kloset,93716,2022-09-02,Tidak ada spare part,33040000
45152,LAM-HAGF-45152,Electrical,Lampu LED Strip,76878,2022-09-02,Kerusakan fatal tidak ekonomis diperbaiki,6660000
59325,TOT-9G3L-59325,Plumbing,Wastafel,92168,2024-09-02,Standar keamanan baru,72830000
48879,TOT-EW9J-48879,Plumbing,Kran Air,91271,2025-09-02,Upgrade kapasitas,77270000
54648,FLO-RDAI-54648,Plumbing,Floor Drain,87200,2022-10-02,Kerusakan fatal tidak ekonomis diperbaiki,96620000
20941,SHA-RJT5-20941,Mechanical,AC Split,55655,2023-10-02,Kontrak maintenance habis,53600000
16930,AME-E2JB-16930,Plumbing,Wastafel,97721,2024-10-02,Kerusakan fatal tidak ekonomis diperbaiki,93230000
32453,JET-T3QM-32453,Plumbing,Jet Shower,51354,2024-10-02,Tidak ada spare part,7710000
38422,PUS-16KM-38422,Security Sistem,Push Button,83114,2025-10-02,Sudah obsolete,94980000
54201,DAI-MEZ2-54201,Mechanical,AC Split,83590,2025-10-02,Kerusakan fatal tidak ekonomis diperbaiki,73940000
40473,PEM-5XC0-40473,Plumbing,Pemipaan Air Bersih,91019,2025-10-02,Upgrade kapasitas,54140000
4191,DEU-9CU1-4191,Mechanical,Genset Diesel,86232,2023-11-02,Kontrak maintenance habis,74070000
58272,APA-YOSO-58272,Sistem Pemadam Kebakaran,APAR CO2,76863,2024-11-02,Kerusakan fatal tidak ekonomis diperbaiki,22030000
57460,LAM-O4GY-57460,Electrical,Lampu Downlight,71036,2024-11-02,Tidak ada spare part,8030000
60006,DIN-4OIK-60006,Civil,Dinding Kaca Tempered,57739,2024-11-02,Tidak ada spare part,4950000
54722,JET-CJRL-54722,Plumbing,Jet Shower,88795,2020-12-02,Upgrade kapasitas,95310000
32140,LAM-DWX8-32140,Electrical,Lampu TL LED,84205,2023-12-02,Tidak ada spare part,12720000
5067,GRE-VAUJ-5067,Mechanical,AC Split,79374,2023-12-02,Kontrak maintenance habis,74990000
35306,SHA-OLK8-35306,Mechanical,AC Split,67668,2024-12-02,Kontrak maintenance habis,43750000
50606,JET-984K-50606,Plumbing,Jet Shower,83910,2024-12-02,Usia pakai habis,99010000
2293,KRI-H764-2293,Ventilasi Sistem,Exhaust Fan,55480,2025-12-02,Tidak ada spare part,64330000
58239,PEM-5P10-58239,Plumbing,Pemipaan Air Kotor,96955,2025-12-02,Upgrade kapasitas,28840000
55104,INA-0W2B-55104,Plumbing,Wastafel,56015,2025-12-02,Standar keamanan baru,88260000
37556,PLA-3EPZ-37556,Arsitektur,Plafon Gypsum / GRC,85400,2023-01-03,Efisiensi energi,91380000
56626,PLA-RSDC-56626,Arsitektur,Plafon Gypsum / GRC,79394,2024-01-03,Kontrak maintenance habis,7970000
27405,SHI-R67G-27405,Mechanical,Pompa Air Tanah,59348,2021-02-03,Kerusakan fatal tidak ekonomis diperbaiki,97000000
34195,APA-W77J-34195,Sistem Pemadam Kebakaran,APAB Dry Powder,82552,2022-02-03,Efisiensi energi,80700000
4321,LG-6D6Z-4321,Mechanical,AC Cassette,57085,2023-02-03,Efisiensi energi,11910000
38615,MIX-BF1O-38615,Sistem Telekomunikasi Gedung,Mixer Audio,70689,2024-02-03,Usia pakai habis,60960000
28918,SHA-IDEL-28918,Mechanical,AC Split,88250,2025-02-03,Usia pakai habis,4590000
50637,TOT-1ARD-50637,Plumbing,Wastafel,64474,2025-02-03,Standar keamanan baru,80760000
52292,DIN-GH7E-52292,Civil,Dinding Tembok/Mansonry,51311,2023-03-03,Upgrade kapasitas,24040000
22624,SHA-R1RW-22624,Mechanical,AC Split,75825,2024-03-03,Upgrade kapasitas,74910000
32859,LAM-ZPSL-32859,Electrical,Lampu LED Bulb,95115,2024-03-03,Standar keamanan baru,29930000
17768,LAN-GWJP-17768,Civil,Lantai Granit,95818,2024-03-03,Standar keamanan baru,24060000
35771,MET-U4US-35771,Pencatatan Meter,Meter PDAM,50538,2024-04-03,Standar keamanan baru,48840000
16640,DIN-IJ4G-16640,Civil,Dinding Tembok/Mansonry,60887,2024-04-03,Tidak ada spare part,42510000
6875,LG-CF2Z-6875,Mechanical,AC Split,57001,2024-04-03,Tidak ada spare part,68150000
35633,JET-OHCR-35633,Plumbing,Jet Shower,61937,2025-04-03,Kontrak maintenance habis,38150000
12091,SHA-8NUP-12091,Mechanical,AC Split,56322,2024-05-03,Kerusakan fatal tidak ekonomis diperbaiki,88020000
30854,LAM-F9YZ-30854,Electrical,Lampu TL,85250,2024-05-03,Upgrade kapasitas,27330000
26807,GRE-5LAM-26807,Mechanical,AC Split,66633,2024-05-03,Upgrade kapasitas,70350000
53888,LAM-U6N0-53888,Electrical,Lampu Downlight,82092,2024-05-03,Standar keamanan baru,22770000
18342,HOC-D5XT-18342,Sistem Proteksi Kebakaran Aktif,Heat Detector,97731,2025-05-03,Kerusakan fatal tidak ekonomis diperbaiki,22750000
60016,CON-X5IS-60016,Electrical,Control Panel Pompa Transfer,87143,2025-05-03,Sudah obsolete,67900000
31824,PIN-JZV8-31824,Arsitektur,Pintu Kayu/HPL,53487,2025-05-03,Efisiensi energi,10230000
43737,BEL-XNCH-43737,Sistem Proteksi Kebakaran Aktif,Bell Alarm,52200,2025-05-03,Efisiensi energi,13900000
45405,PAB-FGUX-45405,Sistem Telekomunikasi Gedung,PABX,55995,2025-05-03,Standar keamanan baru,36840000
23682,PAN-K3TH-23682,Electrical,Panel PP-ME,65486,2025-05-03,Standar keamanan baru,15800000
41467,LAM-G6N6-41467,Electrical,Lampu TL,51759,2022-06-03,Standar keamanan baru,82840000
28172,LAN-DGU6-28172,Civil,Lantai Beton,56274,2024-06-03,Sudah obsolete,49620000
1694,DAH-3HBA-1694,Security Sistem,Kamera CCTV,62222,2024-06-03,Kerusakan fatal tidak ekonomis diperbaiki,4690000
54577,PAN-2WIL-54577,Ventilasi Sistem,Exhaust Fan,85410,2025-06-03,Standar keamanan baru,18540000
16822,KRI-GN9J-16822,Ventilasi Sistem,Exhaust Fan,78349,2020-07-03,Usia pakai habis,78060000
33416,VAL-F7K7-33416,Sistem Pemadam Kebakaran,Valve Control,88049,2021-07-03,Standar keamanan baru,41110000
41301,LAM-HG2X-41301,Electrical,Lampu LED Downlight,96583,2021-07-03,Kerusakan fatal tidak ekonomis diperbaiki,25150000
60692,LEM-PF28-60692,Arsitektur,Lemari/Loker,87282,2021-07-03,Kontrak maintenance habis,61860000
12000,KRI-I469-12000,Ventilasi Sistem,Exhaust Fan,55302,2025-07-03,Tidak ada spare part,2380000
27502,LAM-F2JW-27502,Electrical,Lampu LED,97836,2024-08-03,Kontrak maintenance habis,81000000
21995,DAH-8NCV-21995,Security Sistem,Kamera CCTV,88685,2025-08-03,Kontrak maintenance habis,15480000
2429,SAM-8S9E-2429,Mechanical,AC Split,88642,2025-08-03,Usia pakai habis,8420000
6099,PAN-92D3-6099,Mechanical,AC Split,66771,2019-09-03,Kontrak maintenance habis,80260000
57317,INA-MQTX-57317,Plumbing,Wastafel,88532,2020-09-03,Kontrak maintenance habis,98530000
39600,LAM-PWLR-39600,Electrical,Lampu Downlight,56823,2025-09-03,Tidak ada spare part,4730000
41490,CON-V33C-41490,Electrical,Control Panel AC,98488,2025-09-03,Tidak ada spare part,3840000
1653,LG-DK9X-1653,Mechanical,AC Split,61755,2025-09-03,Upgrade kapasitas,39740000
34793,LAM-03LR-34793,Electrical,Lampu LED Downlight,77646,2025-09-03,Tidak ada spare part,63270000
50360,PLA-DHWN-50360,Arsitektur,Plafon Gypsum / GRC,88926,2021-10-03,Upgrade kapasitas,66550000
7753,LAM-F5J4-7753,Electrical,Lampu Downlight,57181,2023-10-03,Kerusakan fatal tidak ekonomis diperbaiki,74120000
38072,LG-YMBP-38072,Mechanical,AC Cassette,62431,2024-10-03,Sudah obsolete,22160000
60030,DIN-WR5E-60030,Civil,"Dinding Partisi, GRC / Gypsum",58963,2024-10-03,Tidak ada spare part,32340000
28057,LAM-5BAX-28057,Electrical,Lampu TL,73482,2025-10-03,Efisiensi energi,25610000
35320,SHA-II3B-35320,Mechanical,AC Split,83039,2022-11-03,Usia pakai habis,19030000
5278,MON-PY75-5278,Sistem Telekomunikasi Gedung,Monitor/Layar,75157,2023-11-03,Efisiensi energi,34570000
26720,FLO-3V80-26720,Plumbing,Floor Drain,74154,2024-11-03,Efisiensi energi,2970000
31431,PIN-0I29-31431,Arsitektur,Pintu Kayu/HPL,81512,2025-11-03,Kerusakan fatal tidak ekonomis diperbaiki,37600000
31208,APA-U6HT-31208,Sistem Pemadam Kebakaran,APAR Dry Powder Stored Pressure,56880,2024-12-03,Usia pakai habis,61890000
35083,VID-7AZO-35083,Sistem Telekomunikasi Gedung,Video Wall,72159,2025-12-03,Tidak ada spare part,30300000
47649,APA-4EJ5-47649,Sistem Pemadam Kebakaran,APAR Dry Powder Cartridge,86318,2022-01-04,Kontrak maintenance habis,86330000
6009,LAM-DGB9-6009,Electrical,Lampu Downlight,89207,2024-01-04,Upgrade kapasitas,44080000
54484,AME-4H6I-54484,Plumbing,Wastafel,69101,2024-01-04,Standar keamanan baru,4690000
4294,DIN-5H7W-4294,Civil,Dinding Tembok/Mansonry,75875,2025-01-04,Tidak ada spare part,25560000
21517,KLO-6M48-21517,Plumbing,Kloset,61593,2022-02-04,Usia pakai habis,17140000
56974,LAM-9JY1-56974,Electrical,Lampu LED,63041,2024-02-04,Upgrade kapasitas,36840000
6636,LAM-JJHB-6636,Electrical,Lampu Downlight,61777,2024-02-04,Tidak ada spare part,96630000
39945,PES-RX89-39945,Sistem Telekomunikasi Gedung,Pesawat Telepon,50631,2024-02-04,Usia pakai habis,34470000
47195,HON-JHPT-47195,Security Sistem,DVR CCTV,76877,2024-02-04,Standar keamanan baru,71220000
47022,DAI-M6FF-47022,Mechanical,AC Split,94411,2025-02-04,Upgrade kapasitas,98280000
49361,PLA-HJTR-49361,Arsitektur,Plafon Gypsum / GRC,51322,2025-02-04,Upgrade kapasitas,77680000
20730,JET-SH15-20730,Plumbing,Jet Shower,90138,2025-02-04,Kerusakan fatal tidak ekonomis diperbaiki,69490000
56698,APA-O5QL-56698,Sistem Pemadam Kebakaran,APAR Dry Powder Cartridge,85530,2025-02-04,Usia pakai habis,94620000
33306,LAM-0HZ6-33306,Electrical,Lampu T5,88805,2020-03-04,Standar keamanan baru,71770000
46483,PES-ACKR-46483,Sistem Telekomunikasi Gedung,Pesawat Telepon,91947,2023-03-04,Sudah obsolete,82860000
55894,PIN-WV5R-55894,Arsitektur,Pintu Kaca Hidrolik,54146,2025-03-04,Sudah obsolete,43850000
28065,LAM-LAMQ-28065,Electrical,Lampu LED Downlight,64514,2025-03-04,Kerusakan fatal tidak ekonomis diperbaiki,4270000
21135,LAM-4VW5-21135,Electrical,Lampu Downlight,67136,2022-04-04,Usia pakai habis,29020000
13474,GRE-7DTG-13474,Mechanical,AC Split,51039,2022-04-04,Sudah obsolete,33960000
7259,MIT-9ESX-7259,Mechanical,AC Split,54274,2024-04-04,Kontrak maintenance habis,48010000
11417,AXI-21UN-11417,Security Sistem,Kamera CCTV,78979,2024-04-04,Tidak ada spare part,18830000
2504,PES-Y11Q-2504,Sistem Telekomunikasi Gedung,Pesawat Telepon,83119,2024-05-04,Efisiensi energi,28290000
47091,APA-FQLQ-47091,Sistem Pemadam Kebakaran,APAR Dry Powder Stored Pressure,69801,2024-05-04,Efisiensi energi,37570000
14998,CUM-Z1CU-14998,Mechanical,Genset Diesel,66256,2024-05-04,Usia pakai habis,4280000
50483,PLA-NVQA-50483,Arsitektur,Plafon Gypsum / GRC,72167,2024-05-04,Efisiensi energi,53670000
56104,LAN-88MA-56104,Sistem Telekomunikasi Gedung,LAN (Local Area Network),90511,2024-05-04,Tidak ada spare part,33610000
28339,SHA-O3ZH-28339,Mechanical,AC Split,74396,2024-05-04,Upgrade kapasitas,61870000
17359,DIN-3L7J-17359,Civil,Dinding Tembok/Mansonry,82776,2022-06-04,Kerusakan fatal tidak ekonomis diperbaiki,72970000
48151,DAI-2TRT-48151,Mechanical,AC Split,54205,2023-06-04,Sudah obsolete,54760000
29849,PAN-PCWK-29849,Ventilasi Sistem,Exhaust Fan,96106,2023-06-04,Usia pakai habis,40750000
16205,UNI-GYIW-16205,Electrical,Uninterruptible Power Supply,50833,2023-06-04,Kontrak maintenance habis,66080000
30133,OND-6G57-30133,Plumbing,Kran Air,81136,2024-06-04,Efisiensi energi,74840000
2713,KLO-D07D-2713,Plumbing,Kloset,74104,2024-06-04,Standar keamanan baru,9630000
55874,DAI-PID3-55874,Mechanical,AC Cassette,80471,2025-06-04,Kerusakan fatal tidak ekonomis diperbaiki,68480000
589,MIT-EXKG-0589,Mechanical,AC Cassette,67690,2025-06-04,Usia pakai habis,98000000
1229,WAS-RR1V-1229,Plumbing,Kran Air,86914,2025-06-04,Standar keamanan baru,48890000
54072,TOT-BFWP-54072,Plumbing,Kran Air,66594,2021-07-04,Upgrade kapasitas,34210000
28731,APA-AOC4-28731,Sistem Pemadam Kebakaran,APAR Dry Powder Stored Pressure,93775,2022-07-04,Standar keamanan baru,60370000
51070,UNI-E5Y2-51070,Electrical,Uninterruptible Power Supply,98736,2024-07-04,Sudah obsolete,32010000
46497,PAN-YQQP-46497,Mechanical,AC Standing,78027,2025-07-04,Upgrade kapasitas,25500000
24496,FCU-J6UI-24496,Mechanical,FCU,73215,2025-07-04,Kerusakan fatal tidak ekonomis diperbaiki,41290000
52105,SHA-ORX6-52105,Mechanical,AC Split,78698,2025-07-04,Usia pakai habis,64400000
48135,DIN-8M7E-48135,Civil,"Dinding Partisi, GRC / Gypsum",78584,2022-08-04,Efisiensi energi,55060000
40625,LG-AF4M-40625,Mechanical,AC Split,66905,2024-08-04,Upgrade kapasitas,82270000
27066,APA-8AD7-27066,Sistem Pemadam Kebakaran,APAR Dry Powder Stored Pressure,78039,2025-08-04,Sudah obsolete,91720000
31253,GRE-SIDR-31253,Mechanical,AC Split,52953,2019-09-04,Efisiensi energi,69710000
5683,LG-LMJ9-5683,Security Sistem,Monitor CCTV,83970,2020-09-04,Kerusakan fatal tidak ekonomis diperbaiki,50740000
58810,LAM-WE8P-58810,Electrical,Lampu Downlight,86501,2023-09-04,Usia pakai habis,22060000
2649,PAN-9MQ1-2649,Mechanical,AC Cassette,62502,2023-09-04,Kontrak maintenance habis,77300000
34157,APA-V4N2-34157,Sistem Pemadam Kebakaran,APAR Dry Powder Stored Pressure,61930,2024-09-04,Upgrade kapasitas,49960000
13544,DAI-KC3D-13544,Mechanical,AC Cassette,73089,2024-09-04,Kerusakan fatal tidak ekonomis diperbaiki,41830000
41483,PAN-H3BG-41483,Electrical,Panel UPS,99002,2020-10-04,Tidak ada spare part,66830000
26149,DIN-2JWO-26149,Civil,Dinding Batu Alam,99451,2021-10-04,Standar keamanan baru,77340000
38863,PLA-EA56-38863,Arsitektur,Plafon Gypsum / GRC,50856,2021-10-04,Sudah obsolete,80950000
1347,KLO-ZSOO-1347,Plumbing,Kloset,76786,2022-10-04,Upgrade kapasitas,4560000
